Date,total_transaction_count,total_value_per_day,avg_value_per_transaction,total_gas_per_day,avg_gas_price_per_day,total_gas_used_per_day,avg_gas_used_per_transaction,total_transaction_fee,avg_transaction_fee_per_transaction,total_priority_fee,avg_priority_fee_per_transaction
2021-11-24,2026814,1907659109381796192133196,941210742269293675.755740783,881717774015,138293151783.1857,569705194126,281084.10250077216,261270696128807148,128907090699.39676,35987763681939011,17755829435.724743
2021-11-25,2057889,1612546141862614033157751,783592381252154043.856471851,1123975290980,130290708750.0955,745839563622,362429.4428037664,248301445552642498,120658327807.1084,32622236267870226,15852281764.405283
2021-11-26,2003922,2714490643757455504053294,1354588972902865233.304137586,927916858273,122434148603.16763,613108584950,305954.31606120395,225258337541864019,112408735241.12418,32098256804399194,16017717657.872507
2021-11-27,1937180,1595728170489504432577679,823737685960780326.339152273,1009849375398,118564260100.9642,685225894228,353723.39907907369,214722539898725635,110842843669.0063,33059500695767828,17065786708.394588
2021-11-28,1864460,1760486570679716232625851,944234025229673059.559256299,945403961936,120191761857.29836,654429097495,351001.95096435427,217841430753390103,116838886730.4153,27324488799170852,14655443827.7951
2021-11-29,1834780,1816387533671439692269353,989975655757878161.016227014,891361481623,128784745140.63353,602843246739,328564.32201081328,226144475598947558,123254273318.2984,27499029115473034,14987643813.140013
2021-11-30,1932824,2005062502428118897433783,1037374588906242315.613725306,1370099654775,144837987854.50217,896921363141,464047.09541117039,269017032418144663,139183408534.94403,32794866007092160,16967331742.099726
2021-12-01,1827300,2215624728430871332139617,1212512848700744996.519245335,879465039145,142820615811.31592,596829973815,326618.49385158432,242737668556110064,132839527475.57056,23903424792365793,13081281011.52837
2021-12-02,1951319,1565322416264233790588901,802186836834076740.189021375,1143121078447,116422840478.37674,810603239246,415412.9792442958,201978271760883789,103508586633.39197,26324351642827973,13490542367.920351
2021-12-03,1955249,2019660208241711342622787,1032942713813796269.745074413,1075586686265,112714375191.05122,748214442630,382669.645978594,203178078975777531,103914171021.58218,21608310010897646,11051436421.088898
2021-12-04,1953424,2410179641730702318733463,1233823093056449761.410458252,991230455014,155835050347.43845,639792052723,327523.39109328028,266913234842481416,136638658500.39796,33652419835679596,17227401647.404556
2021-12-05,1764209,1993524837179615599999996,1129982239734416727.269839344,1052092651707,107396204479.63861,716164377990,405940.78025336,179747697443909093,101885716173.03227,22175080220159534,12569417920.52956
2021-12-06,1891936,2224191613005059724196963,1175616729638349142.992660957,1070869514208,113747472866.234,726520485237,384009.01787216903,201127155277605279,106307589304.08073,25374445228483300,13411894074.896456
2021-12-07,1884698,1619152880329436624245954,859104684320478200.882026723,2173350386468,99202612641.109131,1642979777810,871746.97368490871,175250358051420545,92985909706.181335,20385299760361604,10816215521.193106
2021-12-08,1859625,1276642528093389562246231,686505358926337063.787715803,944266261247,86260670544.276154,645085022705,346889.84214828257,149784020444004252,80545282217.6537,19295228788384125,10375870827.927202
2021-12-09,1904083,1579328819600217359492228,829443264605701200.783909105,1216056873091,88502420399.70845,867792182260,455753.33756984334,162791845604334295,85496191922.481476,21662021912680772,11376616414.663002
2021-12-10,1940659,2707742493363429019673922,1395269593145127000.505458197,1273678378911,91564202294.129288,893911243343,460622.52221693762,170056449750306131,87628197303.238815,24997785668961980,12881080946.71036
2021-12-11,1862581,1133098627113877319338842,608348644764376593.199888757,1015075085289,76470672306.202484,741177509304,397930.35003793123,146948224701162675,78894944542.6334,16812516815039422,9026462105.56181
2021-12-12,1864915,1490684776409771240079408,799331216923973071.201319095,1017603011036,64673138310.045914,750579197136,402473.67688929522,125542220380224982,67317931584.13385,14637451722632495,7848857305.8999987
2021-12-13,1873150,2080330921512596930189933,1110605622354107749.080390252,1135666237397,87847655527.326691,755930566655,403561.14921656036,171723945160785510,91676558289.931671,22876263396518944,12212723698.859646
2021-12-14,1831760,3051378088613117078525799,1665817622730661810.786237826,1297237031824,82163529372.2961,895279548887,488753.73896525748,151114968773439251,82497144152.858047,18906305168488045,10321387719.181576
2021-12-15,1933216,2439937621865232084676556,1262113298185630620.001363531,1921853981199,93955336284.764832,1495517644295,773590.55806231685,181938455152432718,94111809105.8799,22128637366157907,11446541600.192585
2021-12-16,2090805,1166224393432727174508581,557787260616234978.63673609,2144472425512,113172934847.61049,1800218902609,861017.121447959,244911798391832984,117137561079.02602,23968741401615759,11463881807.062716
2021-12-17,1820922,1843482464636818808636788,1012389583209395464.845165251,1010425274214,96431111541.716751,689109587627,378439.9263818,179426794766364507,98536233164.49826,32893004522847927,18063928341.163395
2021-12-18,1884094,1537996106236000559658473,816305399961997946.842606048,983385544038,66871889307.101669,715657832582,379841.89354777418,131612126198014193,69854331152.274887,14486549024778826,7688867447.5789566
2021-12-19,1936358,901200495151590420183247,465410061131046232.247986684,1045386424032,62144111606.171211,759399820826,392179.45277990948,126210162894953219,65179147086.9298,22599596686226096,11671187190.708586
2021-12-20,1919630,1689998232593175394211859,880377068806580119.195813256,1186821409529,71931505834.542938,805231501802,419472.24298536696,148647655733188307,77435576508.591919,20589839034433219,10725941475.405792
2021-12-21,1884550,1232028243845752616117048,653751953434906272.64707649,1054442145135,72406387950.247681,730294999190,387516.9134223024,153198231689367151,81291677954.613647,18845211828288013,9999847087.25585
2021-12-22,1874807,1741338052903999271246196,928809233645916230.975346262,1179706782329,81262849892.362045,836812638996,446346.01801465428,166144881155754555,88619725206.783722,18327725749989350,9775793321.6535625
2021-12-23,1899188,1365499847968539925659726,718991404731148220.007564285,1020321875583,88418323248.283234,704516684202,370956.79006080492,180112559159360411,94836613942.042816,24594565211089882,12950042445.029076
2021-12-24,1997275,1373343143153023781557216,687608438073386880.403157302,1266589069554,75483746476.004822,906224667220,453730.54147275665,160532955877399744,80375990225.381958,22292256426123048,11161335532.724861
2021-12-25,2151543,958072812749393292491842,445295684422478794.28477237,1736890849759,75258436604.332413,1276718706202,593396.7883523592,174573964089696821,81138961243.02272,19895947858779478,9247292691.23577
2021-12-26,2006955,873239837715010422909065,435106834839351367.075527354,1069517531392,58292132074.480576,767718831710,382529.17066401587,129145891415410779,64349171463.939545,13339978184899403,6646874586.07662
2021-12-27,1955283,1761046737364418917290941,900660793023014528.991936717,909422733857,82088935232.431259,618571215616,316358.91869156534,173447748917911979,88707235176.653183,19185537441338493,9812153760.52392
2021-12-28,1903825,1644582898972291731922434,863830918793634778.36588657,898549506191,103517183174.77684,604223640763,317373.51950047928,213152320980958745,111960038859.11717,20859705975870791,10956734981.351118
2021-12-29,2000517,1289746339312565970834428,644706513022666626.094368606,876148424235,128320654582.27933,604637024985,302240.38335340313,280084001845114212,140005809420.82181,29570513870960119,14781435934.291046
